order,occ_val,occ_label,occ_knowledge_worker
193,405,"Housekeepers, maids, butlers, stewards, and lodging quarters cleaners",N
194,407,Private household cleaners and servants,N
195,408,Private household workers--allocated (1990 internal census),N
196,415,Supervisors of guards,Y
197,417,"Fire fighting, prevention, and inspection",N
198,418,"Police, detectives, and private investigators",N
199,423,"Other law enforcement: sheriffs, bailiffs, correctional institution officers",N
200,425,Crossing guards and bridge tenders,N
201,426,"Guards, watchmen, doorkeepers",N
202,427,"Protective services, n.e.c.",N
203,434,Bartenders,N
204,435,Waiter/waitress,N
205,436,"Cooks, variously defined",N
206,438,Food counter and fountain workers,N
207,439,Kitchen workers,N
208,443,Waiter's assistant,N
209,444,Misc food prep workers,N
210,445,Dental assistants,N
211,446,"Health aides, except nursing",N
212,447,"Nursing aides, orderlies, and attendants",N
213,448,Supervisors of cleaning and building service,N
214,453,Janitors,N
215,454,Elevator operators,N
216,455,Pest control occupations,N
217,456,"Supervisors of personal service jobs, n.e.c.",Y
218,457,Barbers,N
219,458,Hairdressers and cosmetologists,N
220,459,Recreation facility attendants,N
221,461,Guides,N
222,462,Ushers,N
223,463,Public transportation attendants and inspectors,N
224,464,Baggage porters,N
225,465,Welfare service aides,N
226,468,Child care workers,N
227,469,"Personal service occupations, nec",N
228,473,Farmers (owners and tenants),N
229,474,Horticultural specialty farmers,N
230,475,"Farm managers, except for horticultural farms",Y
231,476,Managers of horticultural specialty farms,Y
232,479,Farm workers,N
233,480,Farm laborers and farm foreman--allocated (1990 internal census),N
234,483,Marine life cultivation workers,N
235,484,Nursery farming workers,N
236,485,Supervisors of agricultural occupations,N
237,486,Gardeners and groundskeepers,N
238,487,Animal caretakers except on farms,N
239,488,Graders and sorters of agricultural products,N
240,489,Inspectors of agricultural products,N
241,496,"Timber, logging, and forestry workers",N
242,498,"Fishers, hunters, and kindred",N
243,503,Supervisors of mechanics and repairers,N
244,505,Automobile mechanics,N
245,507,"Bus, truck, and stationary engine mechanics",N
246,508,Aircraft mechanics,N
247,509,Small engine repairers,N
248,514,Auto body repairers,N
249,516,Heavy equipment and farm equipment mechanics,N
250,518,Industrial machinery repairers,N
251,519,Machinery maintenance occupations,N
252,523,Repairers of industrial electrical equipment,N
253,525,Repairers of data processing equipment,N
254,526,Repairers of household appliances and power tools,N
255,527,Telecom and line installers and repairers,N
256,533,"Repairers of electrical equipment, n.e.c.",N
257,534,"Heating, air conditioning, and refigeration mechanics",N
258,535,"Precision makers, repairers, and smiths",N
259,536,Locksmiths and safe repairers,N
260,538,Office machine repairers and mechanics,N
261,539,Repairers of mechanical controls and valves,N
262,543,Elevator installers and repairers,N
263,544,Millwrights,N
264,549,"Mechanics and repairers, n.e.c.",N
265,558,Supervisors of construction work,N
266,563,"Masons, tilers, and carpet installers",N
267,567,Carpenters,N
268,573,Drywall installers,N
269,575,Electricians,N
270,577,Electric power installers and repairers,N
271,579,"Painters, construction and maintenance",N
272,583,Paperhangers,N
273,584,Plasterers,N
274,585,"Plumbers, pipe fitters, and steamfitters",N
275,588,Concrete and cement workers,N
276,589,Glaziers,N
277,593,Insulation workers,N
278,594,"Paving, surfacing, and tamping equipment operators",N
279,595,Roofers and slaters,N
280,596,Sheet metal duct installers,N
281,597,Structural metal workers,N
282,598,Drillers of earth,N
283,599,"Construction trades, n.e.c.",N
284,614,Drillers of oil wells,N
285,615,Explosives workers,N
286,616,Miners,N
287,617,Other mining occupations,N
288,628,Production supervisors or foremen,N
289,634,Tool and die makers and die setters,N
290,637,Machinists,N
291,643,Boilermakers,N
292,644,Precision grinders and filers,N
293,645,Patternmakers and model makers,N
294,646,Lay-out workers,N
295,649,Engravers,N
296,653,"Tinsmiths, coppersmiths, and sheet metal workers",N
297,657,Cabinetmakers and bench carpenters,N
298,658,Furniture and wood finishers,N
299,659,Other precision woodworkers,N
300,666,Dressmakers and seamstresses,N
301,667,Tailors,N
302,668,Upholsterers,N
303,669,Shoe repairers,N
304,674,Other precision apparel and fabric workers,N
305,675,"Hand molders and shapers, except jewelers",N
306,677,Optical goods workers,N
307,678,Dental laboratory and medical appliance technicians,N
308,679,Bookbinders,N
309,684,Other precision and craft workers,N
310,686,Butchers and meat cutters,N
311,687,Bakers,N
312,688,Batch food makers,N
313,693,Adjusters and calibrators,N
314,694,Water and sewage treatment plant operators,N
315,695,Power plant operators,N
316,696,"Plant and system operators, stationary engineers",Y
317,699,Other plant and system operators,N
318,703,"Lathe, milling, and turning machine operatives",N
319,706,Punching and stamping press operatives,N
320,707,"Rollers, roll hands, and finishers of metal",N
321,708,Drilling and boring machine operators,N
322,709,"Grinding, abrading, buffing, and polishing workers",N
323,713,Forge and hammer operators,N
324,717,"Fabricating machine operators, n.e.c.",N
325,719,"Molders, and casting machine operators",N
326,723,Metal platers,N
327,724,Heat treating equipment operators,N
328,726,"Wood lathe, routing, and planing machine operators",N
329,727,Sawing machine operators and sawyers,N
330,728,Shaping and joining machine operator (woodworking),N
331,729,Nail and tacking machine operators  (woodworking),N
332,733,Other woodworking machine operators,N
333,734,"Printing machine operators, n.e.c.",N
334,735,Photoengravers and lithographers,N
335,736,Typesetters and compositors,N
336,738,Winding and twisting textile/apparel operatives,N
337,739,"Knitters, loopers, and toppers textile operatives",N
338,743,Textile cutting machine operators,N
339,744,Textile sewing machine operators,N
340,745,Shoemaking machine operators,N
341,747,Pressing machine operators (clothing),N
342,748,Laundry workers,N
343,749,Misc textile machine operators,N
344,753,Cementing and gluing maching operators,N
345,754,"Packers, fillers, and wrappers",N
346,755,Extruding and forming machine operators,N
347,756,Mixing and blending machine operatives,N
348,757,"Separating, filtering, and clarifying machine operators",N
349,759,Painting machine operators,N
350,763,Roasting and baking machine operators (food),N
351,764,"Washing, cleaning, and pickling machine operators",N
352,765,Paper folding machine operators,N
353,766,"Furnace, kiln, and oven operators, apart from food",N
354,768,Crushing and grinding machine operators,N
355,769,Slicing and cutting machine operators,N
356,773,Motion picture projectionists,N
357,774,Photographic process workers,N
358,779,"Machine operators, n.e.c.",N
359,783,Welders and metal cutters,N
360,784,Solderers,N
361,785,Assemblers of electrical equipment,N
362,789,"Hand painting, coating, and decorating occupations",N
363,796,Production checkers and inspectors,N
364,799,Graders and sorters in manufacturing,N
365,803,Supervisors of motor vehicle transportation,N
366,804,"Truck, delivery, and tractor drivers",N
367,808,Bus drivers,N
368,809,Taxi cab drivers and chauffeurs,N
369,813,Parking lot attendants,N
370,815,Transport equipment operatives--allocated (1990 internal census),N
371,823,Railroad conductors and yardmasters,N
372,824,Locomotive operators (engineers and firemen),Y
373,825,"Railroad brake, coupler, and switch operators",N
374,829,Ship crews and marine engineers,Y
375,834,Water transport infrastructure tenders and crossing guards,N
376,844,Operating engineers of construction equipment,Y
377,848,"Crane, derrick, winch, and hoist operators",N
378,853,Excavating and loading machine operators,N
379,859,Misc material moving occupations,N
380,865,"Helpers, constructions",N
381,866,"Helpers, surveyors",N
382,869,Construction laborers,N
383,874,Production helpers,N
384,875,Garbage and recyclable material collectors,N
385,876,Materials movers: stevedores and longshore workers,N
386,877,Stock handlers,N
387,878,Machine feeders and offbearers,N
388,883,"Freight, stock, and materials handlers",N
389,885,Garage and service station related occupations,N
390,887,Vehicle washers and equipment cleaners,N
391,888,Packers and packagers by hand,N
392,889,Laborers outside construction,N
393,890,"Laborers, except farm--allocated (1990 internal census)",N
394,905,Military,N
395,999,NIU,
